game_name,title,view,dm,like,coin,collect,share,upload_date,url
使命召唤,【使命召唤手游】120帧高刷适配教程,3.1万 ,134,1592,530,1253,117,2022-03-07,https://www.bilibili.com/video/BV1vu411Q7S3
使命召唤,【4K/60FPS】【使命召唤13：无限战争】剧情流程-专家难度-游戏攻略【Moer.Dais】,5.0万 ,1267,1860,1839,1009,41,2022-03-19,https://www.bilibili.com/video/BV1MR4y1c7nN
使命召唤,【COD16：现代战争】全步枪换弹 耳朵直接怀孕了『有快手』最佳音效奖不是白拿的,33.0万 ,385,9237,2673,7419,1101,2021-08-10,https://www.bilibili.com/video/BV14L411E7M5
使命召唤,C O D 后 遗 症,20.5万 ,248,1.0万,584,2173,386,2021-06-08,https://www.bilibili.com/video/BV1mg411G72j
使命召唤,超好玩的免费光追FPS大逃杀它来啦！白嫖的COD16真的很香 大家一定要来试试战区模式,69.9万 ,1544,2.6万,1.2万,5682,1.4万,2020-03-12,https://www.bilibili.com/video/BV1HE411L77o
使命召唤,体验服新近战“藤棍”正作演示！妈妈的擀面杖！来自COD16！【使命召唤手游】,6.2万 ,388,2834,113,290,346,2022-03-08,https://www.bilibili.com/video/BV1RL411N7po
使命召唤,韩国人侮辱中国玩家？双核弹国际战狼出击！使命召唤14：二战 CoD WW2 | AimStormer,115.1万 ,2577,1.9万,4322,5572,773,2019-02-19,https://www.bilibili.com/video/BV1mb411173u
使命召唤,老COD现代战争的超爽瞬狙体验 Plutonium Montage,4549 ,4,187,7,56,19,2022-04-06,https://www.bilibili.com/video/BV1Mq4y1a7qG
使命召唤,C O D M 亿 万 级 硬 核 配 音,55.4万 ,810,4.6万,5910,1.2万,2939,2022-01-14,https://www.bilibili.com/video/BV1ER4y1M74u
使命召唤,黑金商店上线 三个翻翻乐全氪穿！ 真实爆率 保底王永远保底 codm使命召唤手游,4194 ,6,207,42,18,3,2022-04-09,https://www.bilibili.com/video/BV1mT4y1Y7bS
使命召唤,[COD17]别尼玛给老子发冷战了,54.6万 ,149,1.2万,5586,7067,3620,2021-08-01,https://www.bilibili.com/video/BV1dq4y1D7Ro
使命召唤,2022年使命召唤13亚服迎来第二春！,6104 ,1,109,18,24,1,2022-04-09,https://www.bilibili.com/video/BV1a44y1V794
使命召唤,COD17鬼尸新娘组合包，穿着婚纱上战场？僵尸新娘我爱了！,35.4万 ,383,1.0万,1023,1456,136,2021-05-29,https://www.bilibili.com/video/BV1mb4y1o7sG
使命召唤,使命召唤手游(抽奖时一定注意细节才能单发入魂),3923 ,7,121,6,25,1,2022-04-07,https://www.bilibili.com/video/BV1xZ4y1U7Tx
使命召唤,COD18三款特殊检视红皮,11.4万 ,118,2137,18,429,113,2022-03-24,https://www.bilibili.com/video/BV1zY411E7UP
使命召唤,[COD16] 这就是究极丝滑吗,3.5万 ,17,3599,680,1461,137,2022-03-01,https://www.bilibili.com/video/BV16r4y1z7Mi
